COST_MODEL_ID,SEQUENCE,CURRENT_VALUE,NEXT_VALUE,FREEBIE_COST,XP_COST
1,1,0,0,0,0
1,2,1,2,5,4
1,3,2,3,5,8
1,4,3,4,5,12
1,5,4,5,5,16
1,6,5,6,5,20
1,7,6,7,5,24
1,8,7,8,5,28
1,9,8,9,5,32
1,10,9,10,5,36
1,11,10,10,0,0
2,1,0,0,0,0
2,2,1,2,5,4
2,3,2,3,5,8
2,4,3,4,5,12
2,5,4,5,5,16
2,6,5,6,5,20
2,7,6,7,5,24
2,8,7,8,5,28
2,9,8,9,5,32
2,10,9,10,5,36
2,11,10,10,0,0
3,1,0,1,2,3
3,2,1,2,2,2
3,3,2,3,2,4
3,4,3,4,2,6
3,5,4,5,2,8
3,6,5,6,2,10
3,7,6,7,2,12
3,8,7,8,2,14
3,9,8,9,2,16
3,10,9,10,2,18
3,11,10,10,0,0
4,1,0,1,7,10
4,2,1,2,7,5
4,3,2,3,7,10
4,4,3,4,7,15
4,5,4,5,7,20
4,6,5,6,7,25
4,7,6,7,7,30
4,8,7,8,7,35
4,9,8,9,7,40
4,10,9,10,7,45
4,11,10,10,0,0
5,1,0,1,1,0
5,2,1,2,1,0
5,3,2,3,1,0
5,4,3,4,1,0
5,5,4,5,1,0
5,6,5,6,1,0
5,7,6,7,1,0
5,8,7,8,1,0
5,9,8,9,1,0
5,10,9,10,1,0
5,11,10,10,0,0
6,1,0,1,0,7
6,2,1,2,0,4
6,3,2,3,0,8
6,4,3,4,0,12
6,5,4,5,0,16
6,6,5,6,0,20
6,7,6,7,0,24
6,8,7,8,0,28
6,9,8,9,0,32
6,10,9,10,0,36
6,11,10,10,0,0
7,1,0,1,2,0
7,2,1,2,2,2
7,3,2,3,2,4
7,4,3,4,2,6
7,5,4,5,2,8
7,6,5,6,2,10
7,7,6,7,2,12
7,8,7,8,2,14
7,9,8,9,2,16
7,10,9,10,2,18
7,11,10,10,0,0
8,1,0,1,1,0
8,2,1,2,1,1
8,3,2,3,1,2
8,4,3,4,1,3
8,5,4,5,1,4
8,6,5,6,1,5
8,7,6,7,1,6
8,8,7,8,1,7
8,9,8,9,1,8
8,10,9,10,1,9
8,11,10,10,0,0
9,1,0,1,7,10
9,2,1,2,7,7
9,3,2,3,7,14
9,4,3,4,7,21
9,5,4,5,7,28
9,6,5,6,7,35
9,7,6,7,7,42
9,8,7,8,7,49
9,9,8,9,7,56
9,10,9,10,7,63
9,11,10,10,0,0
10,1,0,1,7,10
10,2,1,2,7,6
10,3,2,3,7,12
10,4,3,4,7,18
10,5,4,5,7,24
10,6,5,6,7,30
10,7,6,7,7,36
10,8,7,8,7,42
10,9,8,9,7,48
10,10,9,10,7,54
10,11,10,10,0,0
11,1,0,1,2,0
11,2,1,2,2,2
11,3,2,3,2,4
11,4,3,4,2,6
11,5,4,5,2,8
11,6,5,6,2,10
11,7,6,7,2,12
11,8,7,8,2,14
11,9,8,9,2,16
11,10,9,10,2,18
11,11,10,10,0,0
